LineID	ControlName	English	French	German	Italian	Japanese	Korean	Russian	Spanish	Brazilian	Polish	Tags
12	DF_ADVENTURE_WELCOME	It's time to kick some ass, NEW KID! CLICK 'START ADVENTURE'	C'est l'heure de botter des culs, LE BLEU ! TOUCHE "COMMENCER L'AVENTURE !"	Zeit um ihnen in den Arsch zu treten, NEUER! KLICK AUF „ABENTEUER BEGINNEN“	È ora di rompere qualche culo, NOVELLINO! CLICCA "INIZIA L'AVVENTURA"	さあ、敵をぶっ飛ばしに行くぞ、新入り！「冒険を開始」をクリック！	화끈하게 놀 시간이야, 신삥! '모험 시작'을 탭해!	Новичок, пора надирать задницы! ВЫБЕРИ «НАЧАТЬ ПРИКЛЮЧЕНИЕ»	¡Es hora de repartir leña, NIÑO NUEVO! TOCA "INICIAR AVENTURA".	É hora de descer o cacete, MULEK! CLIQUE EM 'COMEÇAR AVENTURA'	Ej, NOWY, czas skopać parę tyłków! NACIŚNIJ NA 'ZACZNIJ PRZYGODĘ'	DF,ADV
13	DF_ADVENTURE_START	Start Adventure!	Commencer l'aventure !	Abenteuer beginnen	Inizia l'avventura!	冒険を開始！	모험 시작	Начать приключение!	¡Iniciar aventura!	Começar aventura!	Zacznij przygodę!	DF,ADV
14	DF_PLAY_MODE_MULTIPLAYER	Multiplayer	Multijoueur	Multiplayer	Multigiocatore	マルチプレイヤー	멀티플레이	Мультиплеер	Multijugador	Multijogador	Tryb wieloosobowy	DF,MLP
15	DF_MULTIPLAYER_SEARCHING	Please wait, searching for opponent…	Un instant, recherche d'adversaire en cours...	Bitte warte, suche Gegner ...	Attendere. Ricerca avversario...	お待ちください、対戦相手を探しています…	상대를 찾고 있습니다. 잠시만 기다려주세요...	Подожди, идет поиск противника...	Espera, buscando oponentes...	Aguarde enquanto procuramos um adversário...	Prosimy czekać, wyszukiwanie przeciwnika…	DF,MLP
16	DF_MULTIPLAYER_CANCEL	Cancel	Annuler	Abbrechen	Annulla	キャンセル	취소	Отмена	Cancelar	Cancelar	Anuluj	DF,MLP
17	DF_MULTIPLAYER_STATE	State:	Statut :	Zustand:	Stato:	状態：	상태:	Состояние:	Fase:	Estado:	Stan:	DF,MLP
18	DF_MULTIPLAYER_LERPZ	Lerpz	Lerpz	Lerpz	Lerpz	Lerpz	Lerpz	Lerpz	Lerpz	Lerpz	Lerpz	DF,MLP
21	DF_SHOP_CARDS	cards	cartes	karten	carte	カード	카드	карты	cartas	cartas	karty	DF,SHOP,CARDS
22	DF_SHOP_CARD_BUTTERS	Butters	Butters	Butters	Butters	バターズ	버터스	Баттерс	Butters	Butters	Butters	DF,SHOP,CARDS
23	DF_SHOP_CARD_CLYDE	Clyde	Clyde	Clyde	Clyde	クライド	클라이드	Клайд	Clyde	Clyde	Clyde	DF,SHOP,CARDS
